year,cantidad
1874.0,1	
1878.0,1	
1883.0,1	
1887.0,1	
1888.0,2	
1890.0,5	
1891.0,6	
1892.0,3	
1893.0,1	
1894.0,13	
1895.0,7	
1896.0,14	
1897.0,7	
1898.0,13	
1899.0,5	
1900.0,14	
1901.0,10	
1902.0,2	
1903.0,18	
1904.0,8	
1905.0,4	
1906.0,7	
1907.0,7	
1908.0,6	
1909.0,9	
1910.0,7	
1911.0,6	
1912.0,14	
1913.0,13	
1914.0,19	
1915.0,29	
1916.0,32	
1917.0,17	
1918.0,16	
1919.0,23	
1920.0,29	
1921.0,33	
1922.0,33	
1923.0,23	
1924.0,39	
1925.0,40	
1926.0,49	
1927.0,41	
1928.0,65	
1929.0,75	
1930.0,80	
1931.0,98	
1932.0,135	
1933.0,147	
1934.0,138	
1935.0,143	
1936.0,152	
1937.0,155	
1938.0,127	
1939.0,133	
1940.0,151	
1941.0,147	
1942.0,146	
1943.0,141	
1944.0,142	
1945.0,147	
1946.0,127	
1947.0,156	
1948.0,156	
1949.0,174	
1950.0,184	
1951.0,196	
1952.0,191	
1953.0,199	
1954.0,191	
1955.0,208	
1956.0,217	
1957.0,242	
1958.0,220	
1959.0,224	
1960.0,216	
1961.0,202	
1962.0,228	
1963.0,231	
1964.0,251	
1965.0,245	
1966.0,302	
1967.0,286	
1968.0,338	
1969.0,304	
1970.0,347	
1971.0,375	
1972.0,381	
1973.0,353	
1974.0,343	
1975.0,331	
1976.0,327	
1977.0,333	
1978.0,317	
1979.0,335	
1980.0,359	
1981.0,358	
1982.0,368	
1983.0,351	
1984.0,359	
1985.0,366	
1986.0,386	
1987.0,459	
1988.0,464	
1989.0,434	
1990.0,423	
1991.0,419	
1992.0,450	
1993.0,488	
1994.0,535	
1995.0,591	
1996.0,626	
1997.0,656	
1998.0,714	
1999.0,718	
2000.0,776	
2001.0,848	
2002.0,889	
2003.0,873	
2004.0,980	
2005.0,1114	
2006.0,1259	
2007.0,1313	
2008.0,1457	
2009.0,1574	
2010.0,1477	
2011.0,1644	
2012.0,1707	
2013.0,1879	
2014.0,1961	
2015.0,1873	
2016.0,1574	
2017.0,505
